date,product,usd,tons
2006-04-01,soybeans,650789189,2904520.90880828
2006-05-01,soybean_meal,143303287,774248.404804945
2006-05-01,soybean_oil,61609675,127277.6526880264
2006-05-01,soybeans,695941023,3170606.687872291
2006-06-01,soybean_meal,159371387,846314.561794281
2006-06-01,soybean_oil,90384913,182946.7987413406
2006-06-01,soybeans,510385914,2288992.109198166
2006-07-01,soybean_meal,317095274,1669443.82983017
2006-07-01,soybean_oil,140434738,286034.0468101501
2006-07-01,soybeans,978044623,4376614.139330268
2006-08-01,soybean_meal,298848832,1561040.094157696
2006-08-01,soybean_oil,142438937,277910.1199307442
2006-08-01,soybeans,657746849,2901473.409416199
2006-09-01,soybean_meal,246257531,1306419.327950478
2006-09-01,soybean_oil,92388860,177154.1987704337
2006-09-01,soybeans,449124734,1993138.774440765
2006-10-01,soybean_meal,199568544,1032125.458456039
2006-10-01,soybean_oil,137628836,260682.4010505676
2006-10-01,soybeans,379281798,1681605.007090777
2006-11-01,soybean_meal,192158223,924137.5009098053
2006-11-01,soybean_oil,117239635,213287.7679271698
2006-11-01,soybeans,235974241,998322.9588012695
2006-12-01,soybean_meal,209532563,978994.6216326952
2006-12-01,soybean_oil,141090027,227637.4823976755
2006-12-01,soybeans,116676618,471107.2010917664
2007-01-01,soybean_meal,174022993,801503.8120356798
2007-01-01,soybean_oil,36535489,55765.69778633118
2007-01-01,soybeans,138464515,528506.9333648682
2007-02-01,soybean_meal,142080021,642122.7356859446
2007-02-01,soybean_oil,51644683,79988.67727458477
2007-02-01,soybeans,206561696,774834.1600112915
2007-03-01,soybean_meal,228724433,992401.1935787201
2007-03-01,soybean_oil,120880597,194281.0267348289
2007-03-01,soybeans,561777651,2054187.580503464
2007-04-01,soybean_meal,236923642,1057815.4935112
2007-04-01,soybean_oil,122275888,195449.7476029396
2007-04-01,soybeans,844895958,3165241.403517962
2007-05-01,soybean_meal,293235062,1387389.282758951
2007-05-01,soybean_oil,176307881,273349.0625481606
2007-05-01,soybeans,825729511,3152426.434669495
2007-06-01,soybean_meal,256506938,1194882.73021698
2007-06-01,soybean_oil,157731851,226339.0502080619
2007-06-01,soybeans,817432365,3074275.639282227
2007-07-01,soybean_meal,271240552,1226285.304071426
2007-07-01,soybean_oil,193999364,269474.5760812759
2007-07-01,soybeans,859556936,3093335.416027069
2007-08-01,soybean_meal,321663525,1379499.864925385
2007-08-01,soybean_oil,196111509,254278.7119654417
2007-08-01,soybeans,763424128,2673948.169079605
2007-09-01,soybean_meal,260415495,1095056.653554916
2007-09-01,soybean_oil,162945559,205394.3158166409
2007-09-01,soybeans,543682814,1816717.949440002
2007-10-01,soybean_meal,320629786,1192556.964080811
2007-10-01,soybean_oil,232630254,280816.4557790756
2007-10-01,soybeans,664039725,2024512.228507996
2007-11-01,soybean_meal,173001410,585362.9453125
2007-11-01,soybean_oil,170297350,200069.9614810944
2007-11-01,soybeans,267366372,787668.1150512695
2007-12-01,soybean_meal,278572706,919305.2641525269
2007-12-01,soybean_oil,97388720,106070.3053244352
2007-12-01,soybeans,190488327,519084.9645786285
2008-01-01,soybean_meal,219546782,670557.9094047546
2008-01-01,soybean_oil,232904209,233984.9508015513
2008-01-01,soybeans,250720594,599607.2077169418
2008-02-01,soybean_meal,227409709,654131.4259490967
2008-02-01,soybean_oil,146571210,135511.3147153854
2008-02-01,soybeans,186175798,425132.1386777088
2008-03-01,soybean_meal,270069238,766297.7146911621
2008-03-01,soybean_oil,140685920,113187.2951077819
2008-03-01,soybeans,561759980,1403944.702484131
2008-04-01,soybean_meal,284271754,819104.4425506592
2008-04-01,soybean_oil,176993076,141075.178497511
2008-04-01,soybeans,1397622773,3346499.938077927
2008-05-01,soybean_meal,612681880,1744234.759147644
2008-05-01,soybean_oil,274247691,219090.4301230907
2008-05-01,soybeans,1860237663,4442070.239220047
2008-06-01,soybean_meal,446556349,1245544.556779861
2008-06-01,soybean_oil,234550181,181745.339767158
2008-06-01,soybeans,1506026816,3544440.921378493
2008-07-01,soybean_meal,536464955,1386136.609313965
2008-07-01,soybean_oil,391366351,316211.1470498815
2008-07-01,soybeans,1901275510,3981781.512353897
2008-08-01,soybean_meal,362675368,953820.6902084351
2008-08-01,soybean_oil,263473168,211747.1735956995
2008-08-01,soybeans,1219805263,2358357.236579288
2008-09-01,soybean_meal,412772043,1091998.149402142
2008-09-01,soybean_oil,308213072,247642.4248161465
2008-09-01,soybeans,900387877,1862074.417038549
2008-10-01,soybean_meal,392894056,1123832.396465063
2008-10-01,soybean_oil,249702262,220531.3987894672
2008-10-01,soybeans,524600119,1061519.002996804
2008-11-01,soybean_meal,351719385,1041127.404330447
2008-11-01,soybean_oil,136767485,152832.7467572689
2008-11-01,soybeans,311200401,723592.0379028879
2008-12-01,soybean_meal,243963398,782809.0374107361
2008-12-01,soybean_oil,113655327,141111.9050399065
2008-12-01,soybeans,332309772,750385.329870224
2009-01-01,soybean_meal,299495021,936997.0481567383
2009-01-01,soybean_oil,85951938,114920.0568577368
2009-01-01,soybeans,252959462,614533.770904541
2009-02-01,soybean_meal,187684307,567048.242477417
2009-02-01,soybean_oil,43264787,54358.79588856082
2009-02-01,soybeans,264403833,689458.7925575897
2009-03-01,soybean_meal,275470905,840236.581703186
2009-03-01,soybean_oil,121208685,170697.1298989058
2009-03-01,soybeans,973431493,2642917.24130447
2009-04-01,soybean_meal,417996766,1295611.615903854
2009-04-01,soybean_oil,125927475,178429.4023066059
2009-04-01,soybeans,1541845322,4492842.135315832
2009-05-01,soybean_meal,492072638,1431155.362072065
2009-05-01,soybean_oil,103229542,133577.290437148
2009-05-01,soybeans,1722970832,4677650.448399112
2009-06-01,soybean_meal,537489543,1383453.511648566
2009-06-01,soybean_oil,141500974,179137.8006283641
2009-06-01,soybeans,2576871968,6174353.007995605
2009-07-01,soybean_meal,545802752,1326955.675832748
2009-07-01,soybean_oil,190258621,239642.3368201256
2009-07-01,soybeans,1467994595,3347247.720940148
2009-08-01,soybean_meal,451727966,1113103.865074158
2009-08-01,soybean_oil,171403620,210577.334239006
2009-08-01,soybeans,1306234492,2979620.763467787
2009-09-01,soybean_meal,452347344,1091793.500602722
2009-09-01,soybean_oil,83641985,108032.0715284701
2009-09-01,soybeans,817739522,1830429.98312591
2009-10-01,soybean_meal,352481515,843596.9642276764
2009-10-01,soybean_oil,106233850,132580.1964288726
2009-10-01,soybeans,315674629,722695.244994048
2009-11-01,soybean_meal,304758549,745011.4086914063
2009-11-01,soybean_oil,40471569,48956.31245171628
2009-11-01,soybeans,84126894,185808.3962849677
2009-12-01,soybean_meal,274069813,674826.3059329987
2009-12-01,soybean_oil,14663388,16837.25990001857
2009-12-01,soybeans,99044445,203144.8871536255
2010-01-01,soybean_meal,254616642,633995.5743408203
2010-01-01,soybean_oil,16042571,17855.9730216302
2010-01-01,soybeans,45344090,93039.82716178894
2010-02-01,soybean_meal,260824027,697732.2817420959
2010-02-01,soybean_oil,55938723,67597.45015728474
2010-02-01,soybeans,265511705,663770.9493110329
2010-03-01,soybean_meal,402979801,1148046.034593582
2010-03-01,soybean_oil,53369410,65033.12975526601
2010-03-01,soybeans,1164529634,3085119.903756626
2010-04-01,soybean_meal,347225298,1121861.529205322
2010-04-01,soybean_oil,104994014,125645.9734496842
2010-04-01,soybeans,1790568517,4894674.990357388
2010-05-01,soybean_meal,455392300,1496343.700019836
2010-05-01,soybean_oil,110157215,132920.6752119306
2010-05-01,soybeans,2089590161,5696187.549229894
2010-06-01,soybean_meal,440730473,1418137.888917923
2010-06-01,soybean_oil,204742488,250186.5748279765
2010-06-01,soybeans,1488413695,4039679.888895258
2010-07-01,soybean_meal,463228960,1482563.778039185
2010-07-01,soybean_oil,225924268,275608.8342912495
2010-07-01,soybeans,1495975867,3999165.188580448
2010-08-01,soybean_meal,344753083,1036609.744865417
2010-08-01,soybean_oil,159805197,186806.7837953605
2010-08-01,soybeans,1155819865,2966414.850597024
2010-09-01,soybean_meal,514843556,1467079.363315582
2010-09-01,soybean_oil,106501300,124757.1257926375
2010-09-01,soybeans,823948371,2008330.591235764
2010-10-01,soybean_meal,457918382,1225254.595784664
2010-10-01,soybean_oil,97204495,107904.857560318
2010-10-01,soybeans,430477795,1013190.033196449
2010-11-01,soybean_meal,417684906,1056715.981395721
2010-11-01,soybean_oil,128335612,128283.4025466908
2010-11-01,soybeans,139524491,301252.4908967614
2010-12-01,soybean_meal,358335812,881758.6787109375
2010-12-01,soybean_oil,84635760,77167.4328994751
2010-12-01,soybeans,145958147,292605.1350678205
2011-01-01,soybean_meal,388551304,954908.5286216736
2011-01-01,soybean_oil,102362512,85981.31397271156
2011-01-01,soybeans,107134951,208095.9530268274
2011-02-01,soybean_meal,244239363,574133.035774231
2011-02-01,soybean_oil,161653827,131193.1688000858
2011-02-01,soybeans,111011996,224881.02663479
2011-03-01,soybean_meal,477699270,1139295.990268707
2011-03-01,soybean_oil,186052377,155781.9682877511
2011-03-01,soybeans,1383486048,2733616.454071105
2011-04-01,soybean_meal,525578301,1231647.660005569
2011-04-01,soybean_oil,99553761,78506.41553893313
2011-04-01,soybeans,2417293269,5089786.279413223
2011-05-01,soybean_meal,608816217,1542188.492694855
2011-05-01,soybean_oil,209722263,173104.6621887609
2011-05-01,soybeans,2558511249,5305717.186132431
2011-06-01,soybean_meal,652054524,1684329.274012482
2011-06-01,soybean_oil,238205695,189817.2230302766
2011-06-01,soybeans,2231987326,4553503.078387827
2011-07-01,soybean_meal,462301353,1179449.429782867
2011-07-01,soybean_oil,244219938,198192.1642484218
2011-07-01,soybeans,1841148599,3738040.529220581
2011-08-01,soybean_meal,464600856,1204360.650605679
2011-08-01,soybean_oil,181833706,145686.4919810777
2011-08-01,soybeans,1898836203,3681740.768864498
2011-09-01,soybean_meal,513601152,1265207.823085785
2011-09-01,soybean_oil,242921600,191571.113489151
2011-09-01,soybeans,1458146146,2798345.868365288
2011-10-01,soybean_meal,545392419,1380406.217906952
2011-10-01,soybean_oil,112481969,89360.89808011055
2011-10-01,soybeans,739963658,1413186.052992323
2011-11-01,soybean_meal,445859402,1200129.296388626
2011-11-01,soybean_oil,212479304,186406.3542208597
2011-11-01,soybeans,878197383,1758847.231890587
2011-12-01,soybean_meal,360719783,978813.4884147644
2011-12-01,soybean_oil,130492822,110891.3693366349
2011-12-01,soybeans,696235790,1469779.408489216
2012-01-01,soybean_meal,378495830,1051722.100390911
2012-01-01,soybean_oil,112709795,103218.9672390744
2012-01-01,soybeans,461791913,1011707.979469299
2012-02-01,soybean_meal,357425252,996816.7612876892
2012-02-01,soybean_oil,113894709,101639.8771486878
2012-02-01,soybeans,715515063,1568331.085859299
